fecha,precio_combustible
Ene10,96.66326739
Feb10,95.49984552
Mar10,95.42137457
Abr10,96.90842682
May10,101.766808
Jun10,101.4181733
Jul10,100.5821355
Ago10,100.3127802
Sep10,100.2514678
Oct10,101.1422563
Nov10,105.0636219
Dic10,104.9698428
Ene11,109.8640971
Feb11,109.631007
Mar11,108.4981538
Abr11,107.672969
May11,107.6070751
Jun11,111.1538686
Jul11,112.0011053
Ago11,112.4271797
Sep11,115.6556982
Oct11,115.9212413
Nov11,120.6982388
Dic11,120.2829756
Ene12,116.5670077
Feb12,116.9012251
Mar12,120.8684787
Abr12,120.2294111
May12,120.9723216
Jun12,121.0167291
Jul12,115.3797781
Ago12,114.5342609
Sep12,117.1286022
Oct12,117.3202134
Nov12,117.3075379
Dic12,116.9178957
Ene13,112.184664
Feb13,111.8483169
Mar13,116.0937404
Abr13,115.5439458
May13,110.094429
Jun13,109.5505983
Jul13,112.8624047
Ago13,112.2529776
Sep13,117.7882128
Oct13,117.7431498
Nov13,115.2938528
Dic13,114.6807505
Ene14,114.907807
Feb14,114.3888775
Mar14,115.5469526
Abr14,114.8456131
May14,113.8431421
Jun14,113.4144074
Jul14,111.6913842
Ago14,111.4578261
Sep14,109.3889528
Oct14,108.2392097
Nov14,103.6453485
Dic14,97.92734163
Ene15,87.55191392
Feb15,80.8544923
Mar15,79.35204656
Abr15,78.80190033
May15,78.11954392
Jun15,77.62145418
Jul15,77.1937001
Ago15,76.90359964
Sep15,76.48694188
Oct15,75.90396859
Nov15,75.17141883
Dic15,74.52439348
Ene16,68.47037364
Feb16,66.40293689
Mar16,65.54328433
Abr16,65.38087796
May16,68.18168269
Jun16,68.08669594
Jul16,72.04198537
Ago16,71.93850538
Sep16,72.32717737
Oct16,72.10582371
Nov16,75.40074449
Dic16,75.60505021
Ene17,79.21208402
Feb17,79.03240249
Mar17,77.86563078
Abr17,78.06708561
May17,78.32395532
Jun17,78.29855977
Jul17,76.41875307
Ago17,75.38702508
Sep17,76.7400029
Oct17,76.95208717
Nov17,80.70435987
Dic17,80.727745
Ene18,84.36457964
Feb18,84.3778229
Mar18,83.82030454
Abr18,83.71232272
May18,87.48776502
Jun18,88.38181672
Jul18,89.74222046
Ago18,89.7715333
Sep18,89.74691308
Oct18,90.55570051
Nov18,94.70292235
Dic18,95.92340465
Ene19,95.49461627
Feb19,94.56918625
Mar19,90.98167283
Abr19,90.29273713
May19,91.02796025
Jun19,91.68593357
Jul19,90.92168243
Ago19,90.57735168
Sep19,90.49934437
Oct19,90.18281067
Nov19,89.94056369
Dic19,90.32334308
Ene20,91.42476502
Feb20,91.43851465
Mar20,89.99586806
Abr20,89.33194553
May20,86.09296703
Jun20,81.61804784
Jul20,78.33304229
Ago20,78.56155542
Sep20,78.95112746
Oct20,77.94495582
Nov20,76.83580587
Dic20,79.54873512
Ene21,83.7222522
Feb21,88.03263977
Mar21,94.0418866
Abr21,93.9317068
May21,94.30653701
Jun21,97.33978716
Jul21,99.85451258
Ago21,103.7535709
Sep21,104.4857479
Oct21,107.9675985
Nov21,109.1849717
Dic21,108.005567
Ene22,107.2367301
Feb22,109.0827865
Mar22,112.1738433
Abr22,102.0826723
May22,105.4157252
Jun22,110.0756959
Jul22,108.9239517
Ago22,108.2651716
Sep22,114.3483581
Oct22,121.8131074
Nov22,121.9247395
Dic22,120.8421878
Ene23,117.5214088
Feb23,116.325433
Mar23,111.9441989
Abr23,106.7883854
May23,99.13121089
Jun23,94.03865107
Jul23,92.78190879
Ago23,95.33204376
