CODMES;CODSOLICITUD;SEGMENTOCLIENTE;TARJETA_RELACIONADA;VEHICULAR_RELACIONADA;HIPOTECARIO_RELACIONADA;ATRASO_MAXIMO_ULT_24M;MESES_AHORROS_ULT_6M;MEDIANA_AHORROS_ULT_6M;DEUDA_TOTAL_SISTEMA;CLASIF_SISTEMA_ULT_12M;FLG_PDH;NUMERO_DE_PAGOS_PDH;MONTO_DEUDA_TC_SISTEMA;INGRESO_DECLARADO_CLIENTE;ZONA_DEL_DESEMBOLSO;ESTADO_CIVIL;EDAD_T;LINEA_DE_TC_SISTEMA;FLG_DEFAULT_12M
201307;1;CLIENTES ORO;0;0;0;25;6;4514.07;5661.25;0;1;24;0;1992.756892;CUZCO;SOL;25;10900;1
201307;2;CLIENTES ORO;1;0;0;20;5;715.79;21664.22;1;1;22;0;2413.719758;AREQUIPA;SOL;29;23300;0
201307;3;CLIENTES ORO;1;0;0;45;6;8814.49;0;0;0;0;0;1694.357155;CUZCO;SOL;36;7600;1
201307;4;CLIENTES ORO;0;0;0;20;3;2863.24;;;1;7;0;1785.392738;LIMA_NORTE;CAS;26;14741;0
201307;5;CLIENTES PLATINUM SEGM 2;1;0;0;20;6;19174;91311.62;1;1;24;10207.4;11991.51802;LIMA_ESTE;CAS;54;30000;0
201307;6;CLIENTES PLATINUM SEGM 2;1;0;0;2;;1215.94;26905.52;1;1;24;26707.38;2274.524189;LIMA_SUR;SOL;37;3150;0
201307;7;CLIENTES PLATINUM SEGM 2;0;0;0;20;;17942.57;26967.87;0;1;24;25620.24;5144.873736;LIMA_NORTE;CAS;40;5974;0
201307;8;CLIENTES ORO;0;0;0;17;;3459.94;10349.79;0;1;24;0;1935.217659;LIMA_PROV;SOL;27;18113;0
201307;9;CLIENTES PLATINUM SEGM 2;1;0;0;20;;21795;53392.37;0;1;24;6367.52;8345.098278;LIMA_MODERNA;SOL;37;18100;0
201307;10;CLIENTES ORO;0;0;0;55;;624.61;6356.12;0;1;14;0;1120.624788;ICA;SOL;21;15262;1
201307;11;CLIENTES ORO;0;0;0;20;;7459.39;;;1;24;0;1616.57245;CALLAO;SOL;26;1949;0
201307;12;CLIENTES ORO;1;0;0;20;;930.72;0;0;1;4;0;1214.366609;LIMA_MODERNA;CAS;34;3600;1
201307;13;CLIENTES ORO;0;0;0;20;;1053.46;9769.29;0;1;11;0;1441.54068;LA_LIBERTAD;SOL;29;15032;0
201307;14;CLIENTES ORO;1;0;0;20;;6958.97;3727.71;0;1;24;532.51;1826.079983;ANCASH;CAS;37;5000;0
201307;15;CLIENTES PLATINUM SEGM 2;1;0;0;20;;316.48;37924.08;0;0;1;37924.08;5037.272361;CALLAO;CAS;40;31000;0
201307;16;CLIENTES ORO;1;0;0;2;;10049.07;758.48;0;1;24;705.58;2257.660443;AREQUIPA;SOL;30;3600;0
201307;17;CLIENTES PLATINUM SEGM 2;0;0;0;20;;18103.76;83775.67;0;0;1;13587.76;7090.61339;AREQUIPA;SOL;41;1437;0
201307;18;CLIENTES PLATINUM SEGM 2;1;0;0;20;;20177.44;79980.38;0;0;1;49744.51;7520.62226;LIMA_MODERNA;SOL;36;23700;0
201307;19;CLIENTES PLATINUM SEGM 2;1;0;0;2;;8814.49;0;0;1;10;0;1786.737932;CUZCO;SOL;37;6750;0
201307;20;CLIENTES ORO;0;0;0;20;;6416.2;824.65;2;1;7;824.65;1209.104808;LIMA_SUR;CON;29;8485;0
201307;21;CLIENTES ORO;1;0;0;20;;7624.94;0;0;1;2;0;3984.463821;LIMA_MODERNA;SOL;31;6600;0
201307;22;CLIENTES PLATINUM SEGM 2;1;0;0;20;;7484.46;6864.94;0;1;9;0;2008.483234;AREQUIPA;SOL;40;21800;0
201307;23;CLIENTES ORO;1;0;0;20;;4013.05;22311.46;0;1;17;22311.35;3048.054279;LIMA_ESTE;SOL;30;8354;0
201307;24;CLIENTES PLATINUM SEGM 2;1;0;0;2;;13648.2;26984.48;0;1;24;2075.7;5989.966152;LIMA_NORTE;CON;32;48000;0
201307;25;CLIENTES ORO;1;0;0;15;;6157.85;8391.56;1;1;24;6592.42;1796.934302;LIMA_ESTE;SOL;34;4096;0
201307;26;CLIENTES SIGNATURE;0;0;0;20;;62.99;40132.2;1;0;0;39453.62;1477.35379;APURIMAC;SOL;32;21935;0
201307;27;CLIENTES ORO;0;0;0;20;;8814.49;0;0;1;9;0;3145.999374;JUNIN;SOL;27;20436;0
201307;28;CLIENTES ORO;0;0;0;20;;588.97;1130.88;0;1;22;0;1377.922656;ICA;CAS;35;21927;0
201307;29;CLIENTES PLATINUM SEGM 2;1;0;0;20;;21113;90572.54;0;1;2;65248.86;11269.98966;LIMA_MODERNA;CAS;44;41400;0
201307;30;CLIENTES ORO;0;0;0;20;;787.48;;0;1;24;0;1800.966482;AREQUIPA;SOL;32;2441;1
201307;31;CLIENTES PLATINUM SEGM 2;0;1;0;20;;380.01;54145.89;0;0;1;30068.25;1931.404018;LIMA_MODERNA;SOL;29;14397;0
201307;32;CLIENTES ORO;1;0;0;20;;850.12;1375.5;0;1;22;1155.5;;LIMA_ESTE;SOL;23;1200;0
201307;33;CLIENTES ORO;1;0;0;20;;4344.3;0;0;1;16;0;2235.893257;LIMA_MODERNA;CAS;32;1900;0
201307;34;CLIENTES ORO;1;0;0;20;;7535.43;0;0;1;24;0;1878.639444;LIMA_PROV;SOL;47;4300;0
201307;35;CLIENTES PLATINUM SEGM 2;0;0;0;20;;5833.25;472473.23;0;1;2;91857.12;3581.999941;AREQUIPA;CAS;59;2625;0
201307;36;CLIENTES ORO;0;0;0;20;;865.29;9639.92;0;1;7;943.06;1519.995364;TACNA;SOL;35;20395;0
201307;37;CLIENTES PLATINUM SEGM 2;1;0;0;1;;11783.47;105376.54;0;1;24;61923.75;7668.089515;LA_LIBERTAD;CAS;38;30230;0
201307;38;CLIENTES ORO;0;0;0;20;;8536.08;156.2;0;1;24;156.2;3622.631694;LIMA_ESTE;CAS;53;13225;0
201307;39;CLIENTES PLATINUM SEGM 2;1;0;0;2;;20798;103420.24;1;1;24;14858.62;7237.299554;LIMA_MODERNA;CAS;47;30000;0
201307;40;CLIENTES ORO;1;0;0;20;;6018.58;23912.88;0;1;9;0;4221.849089;AREQUIPA;SOL;35;16300;0
201307;41;CLIENTES ORO;1;0;0;20;;2004.63;35035.92;0;1;24;24885.35;2170.552244;ANCASH;CAS;52;30000;0
201307;42;CLIENTES PLATINUM SEGM 2;1;0;0;20;;21786.56;73716.19;0;1;6;5659.58;11863.02303;LIMA_ESTE;CAS;39;13900;0
201307;43;CLIENTES ORO;1;0;0;20;;1404.38;59.77;0;1;1;59.77;2712.076151;LIMA_MODERNA;SOL;30;27300;0
201307;44;CLIENTES PLATINUM SEGM 2;1;0;0;20;;4186.04;30307.75;4;1;21;4541.35;5306.924806;LIMA_NORTE;CBS;40;4000;0
201307;45;CLIENTES PLATINUM SEGM 2;1;0;0;2;;22959.03;97133.14;2;1;24;8926.04;7048.956707;LA_LIBERTAD;SOL;41;11050;0
201307;46;CLIENTES ORO;0;0;0;20;;2701.97;;;0;0;0;1848.621854;CUZCO;SOL;47;1307;0
201307;47;CLIENTES ORO;1;0;0;20;;5541.25;1391.9;3;1;12;1391.9;1651.40154;LA_LIBERTAD;SOL;43;3600;0
201307;48;CLIENTES ORO;0;0;0;20;;8142.98;;;1;3;0;1578.853692;LIMA_ESTE;CAS;53;490;0
201307;49;CLIENTES PLATINUM SEGM 2;0;0;0;20;;22845;261015.2;0;1;24;279.2;5394.083515;CUZCO;CAS;35;13062;0
201307;50;CLIENTES ORO;1;0;0;20;;1352.73;46741.62;0;0;1;46741.62;3754.612944;LIMA_MODERNA;SOL;63;30000;0
201307;51;CLIENTES PLATINUM SEGM 2;1;0;0;15;;20209;7548.99;1;1;24;5654.57;11619.62724;TACNA;SOL;33;48000;0
