CODMES,CODSOLICITUD,TARJETA_RELACIONADA,VEHICULAR_RELACIONADA,HIPOTECARIO_RELACIONADA,FLG_PDH,NUMERO_DE_PAGOS_PDH,SEGMENTOCLIENTE_RECLA_ENC,ZONA_CALLAO,ZONA_CENTRO,ZONA_LA_LIBERTAD,ZONA_LIMA,ZONA_MADRE_DE_DIOS,ZONA_NORTE,ZONA_NO_INFORMADO,ZONA_SUR,ZONA_TACNA,ESTADO_CIVIL_TM,ESTADO_CIVIL_CAS,ESTADO_CIVIL_CBS,ESTADO_CIVIL_CON,ESTADO_CIVIL_NO_INFORMADO,ESTADO_CIVIL_SEP,ESTADO_CIVIL_SOL,ESTADO_CIVIL_VIU,ATRASO_MAXIMO_ULT_24M_TCS_TM,MEDIANA_AHORROS_ULT_6M_TCS_TM,DEUDA_TOTAL_SISTEMA_TCS_TM,CLASIF_SISTEMA_ULT_12M_TM,MONTO_DEUDA_TC_SISTEMA_TCS,INGRESO_DECLARADO_CLIENTE_TCS_TM,EDAD_T_TCS_TM,FLG_DEFAULT_12M
201307,1,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,4514.07,5661.25,0.0,0.0,1992.756892,25.0,1
201307,2,1,0,0,1,22,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,715.79,21664.22,1.0,0.0,2413.719758,29.0,0
201307,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,8814.49,0.0,0.0,0.0,1694.357155,36.0,1
201307,4,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,2863.24,14172.718854229795,1.0,0.0,1785.392738,26.0,0
201307,5,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,18925.7,48636.71,1.0,9519.397500000001,6696.8683588,54.0,0
201307,6,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,2.0,1215.94,26905.52,1.0,9519.397500000001,2274.524189,37.0,0
201307,7,0,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,17942.57,26967.87,0.0,9519.397500000001,5144.873736,40.0,0
201307,8,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,3459.94,10349.79,0.0,0.0,1935.217659,27.0,0
201307,9,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,18925.7,48636.71,0.0,6367.52,6696.8683588,37.0,0
201307,10,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,624.61,6356.12,0.0,0.0,1120.624788,21.0,1
201307,11,0,0,0,1,24,0,1,0,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,7459.39,14172.718854229795,1.0,0.0,1616.57245,26.0,0
201307,12,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,930.72,0.0,0.0,0.0,1214.366609,34.0,1
201307,13,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,1053.46,9769.29,0.0,0.0,1441.54068,29.0,0
201307,14,1,0,0,1,24,0,0,0,0,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,6958.97,3727.71,0.0,532.51,1826.079983,37.0,0
201307,15,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,316.48,37924.08,0.0,9519.397500000001,5037.272361,40.0,0
201307,16,1,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,10049.07,758.48,0.0,705.58,2257.660443,30.0,0
201307,17,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,18103.76,48636.71,0.0,9519.397500000001,6696.8683588,41.0,0
201307,18,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,18925.7,48636.71,0.0,9519.397500000001,6696.8683588,36.0,0
201307,19,1,0,0,1,10,1,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,2.0,8814.49,0.0,0.0,0.0,1786.737932,37.0,0
201307,20,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,CON,0,0,1,0,0,0,0,8.0,6416.2,824.65,2.0,824.65,1209.104808,29.0,0
201307,21,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,7624.94,0.0,0.0,0.0,3984.463821,31.0,0
201307,22,1,0,0,1,9,1,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,7484.46,6864.94,0.0,0.0,2008.483234,40.0,0
201307,23,1,0,0,1,17,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,4013.05,22311.46,0.0,9519.397500000001,3048.054279,30.0,0
201307,24,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CON,0,0,1,0,0,0,0,2.0,13648.2,26984.48,0.0,2075.7,5989.966152,32.0,0
201307,25,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,6157.85,8391.56,1.0,6592.42,1796.934302,34.0,0
201307,26,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,SOL,0,0,0,0,0,1,0,8.0,62.99,40132.2,1.0,9519.397500000001,1477.35379,32.0,0
201307,27,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,8814.49,0.0,0.0,0.0,3145.999374,27.0,0
201307,28,0,0,0,1,22,0,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,8.0,588.97,1130.88,0.0,0.0,1377.922656,35.0,0
201307,29,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,18925.7,48636.71,0.0,9519.397500000001,6696.8683588,44.0,0
201307,30,0,0,0,1,24,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,787.48,14172.718854229795,0.0,0.0,1800.966482,32.0,1
201307,31,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,380.01,48636.71,0.0,9519.397500000001,1931.404018,29.0,0
201307,32,1,0,0,1,22,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,850.12,1375.5,0.0,1155.5,2963.467652759518,23.0,0
201307,33,1,0,0,1,16,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,4344.3,0.0,0.0,0.0,2235.893257,32.0,0
201307,34,1,0,0,1,24,0,0,0,0,1,0,0,0,0,0,SOL,0,0,0,0,0,1,0,8.0,7535.43,0.0,0.0,0.0,1878.639444,47.0,0
201307,35,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,CAS,1,0,0,0,0,0,0,8.0,5833.25,48636.71,0.0,9519.397500000001,3581.999941,59.0,0
201307,36,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,SOL,0,0,0,0,0,1,0,8.0,865.29,9639.92,0.0,943.06,1519.995364,35.0,0
201307,37,1,0,0,1,24,1,0,0,1,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,1.0,11783.47,48636.71,0.0,9519.397500000001,6696.8683588,38.0,0
201307,38,0,0,0,1,24,0,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,8536.08,156.2,0.0,156.2,3622.631694,53.0,0
201307,39,1,0,0,1,24,1,0,0,0,1,0,0,0,0,0,CAS,1,0,0,0,0,0,0,2.0,18925.7,48636.71,1.0,9519.397500000001,6696.8683588,47.0,0
201307,40,1,0,0,1,9,0,0,0,0,0,0,0,0,1,0,SOL,0,0,0,0,0,1,0,8.0,6018.58,23912.88,0.0,0.0,4221.849089,35.0,0
201307,41,1,0,0,1,24,0,0,0,0,0,0,0,0,0,0,CAS,1,0,0,0,0,0,0,8.0,2004.63,35035.92,0.0,9519.397500000001,2170.552244,52.0,0
